"ECO_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Integ1km20","Integ1km30","Area (ha)"
"Northwest Territories taiga",0.999381284386784,0.998463653814475,0.994479615259944,0.988584415536187,0.999219861410674,0.999995390777118,0.999999743896542,0.999999743896542,0.999999743896542,33435221.4204172
"Northwestern Himalayan alpine shrub and meadows",0.798436240402602,0.204958911300907,0.263963490973709,0.606550942079553,0.257859167211685,0.90216539819961,0.99990914843892,0.999628761724551,0.998748441425806,4938979.80830046
"Novosibirsk Islands Arctic desert",0.976267831304981,0.998745399799264,1,1,1,1,1,1,1,3724732.50004098
"Nujiang Langcang Gorge alpine conifer and mixed forests",0.675894810184986,0.212186950128956,0.239295954509313,0.601923869060599,0.26344287912008,0.892934933641778,0.998358445596533,0.996142300437156,0.992845177221541,8269905.70891077
"Nullarbor Plains xeric shrublands",0.999983154985106,0.999347743648085,0.880126167019658,0.999130619383144,0.999165549852075,0.999176473952953,0.999913421032734,0.999858966388164,0.999782573181754,19722777.2605079
"Nyanga-Chimanimani Montane forest-grassland",0.0102967958852843,0,0.00245129660688943,0.24847620282713,0,0.672475478372729,0.870609075078561,0.825203658853906,0.786113168271252,770537.840814429
"Oaxacan montane forests",0.817852564754715,0.0811769341915145,0.166666666666667,0.423470727224993,0.176918032786885,0.947403224986011,0.998616409786866,0.996978483137494,0.994943791647591,757691.849968678
"Ogasawara subtropical moist forests",0.399590163934426,0.170454545454545,NA,0.729166666666667,NA,0.455862977602108,0.837185929648241,0.777889447236181,0.708542713567839,9624.76172912204
"Ogilvie-MacKenzie alpine tundra",0.999978886255107,0.999668549306605,0.997275403054731,0.995188162880686,0.999822576919601,0.999998705065783,1,1,1,30298148.5309079
"Okanogan dry forests",0.96091825946972,0.7969485814924,0.799954340505679,0.661337549777465,0.825440766482114,0.955838009661807,0.997095422817543,0.994143592727187,0.99100127435186,5263590.37984452
"Okhotsk-Manchurian taiga",0.998110036610967,0.988609359176184,0.967012689160633,0.93200481408754,0.9899538068114,0.988343710341084,0.999946145934796,0.999901623981973,0.999828133596966,40351502.6678332
"Ordos Plateau steppe",0.366939061976405,0.0151673034618502,0.0724798088322466,0.0459160246926177,0.0218468028955609,0.683558866247717,0.974946949944868,0.950589867798401,0.917606229325554,21560403.766495
"Orinoco Delta swamp forests",0.885947659230529,0.627181423178289,0.898103732573827,0.942381232534196,0.822590714007023,0.961926362699845,0.999867799186965,0.99959513501008,0.998763371561402,2802820.86034089
"Orinoco wetlands",0.634841605613456,0.181410788381743,0.400712226555876,0.752067510548523,0.234518647007806,0.80637974418117,0.999509246823019,0.997184626511003,0.990094534559355,598844.365186003
"Orissa semi-evergreen forests",0.0952415820632137,0.00014018691588785,0.0149762353152184,0.015571352579912,0,0.102022522692177,0.257501232364593,0.196491089194411,0.161276046070646,2222766.18873039
"Ozark Highlands mixed forests",0.354554750531257,0.0509125750302939,0.318438112750847,0.214748807585754,0.119101857992829,0.848816728072888,0.996421249675469,0.993881725974339,0.990947310701125,10639097.5028668
"Ozark Mountain forests",0.541157006336405,0.141001024989534,0.383414704192993,0.305643393978615,0.221540934323516,0.963247493163172,0.994877911480947,0.991834755516417,0.988847335009113,6949468.6897915
"Pacific Coastal Mountain icefields and tundra",0.999951568978813,0.89820002834601,0.967927310784454,0.894157268827122,0.889523347275556,0.999482943045099,1,1,1,10666333.0513688
"Palau tropical moist forests",0.320519860882299,0.292740046838407,0.0226130653266332,0.610644257703081,0.0970873786407767,0.712816116588084,1,0.99978265594436,0.997609215387959,45974.8644854001
"Palawan rain forests",0.525435435268168,0.00160681849937124,0.000581606688476917,0.87524106215695,0.00100681536555142,0.582860888271411,0.968397790055249,0.941812154696133,0.888116022099448,1427838.78063738
"Palouse prairie",0.411862544789988,0.265632846313876,0.494915415886792,0.192663329980489,0.188533372294056,0.510222620530539,0.717020601984306,0.664593557523695,0.624181795155987,8392329.21258502
"Pamir alpine desert and tundra",0.938114005930334,0.623432807967019,0.699451195278081,0.756569166728611,0.669819664652596,0.959358526259935,0.998306859952368,0.996117385706376,0.993458929012202,11803950.3632336
"Panamanian dry forests",0.0801737275220969,0.000976753272123462,0.022535763276504,0.0265538945712038,0.00653724247226624,0.162723653502952,0.69103500761035,0.469299847792998,0.331202435312024,508742.540804467
"Pannonian mixed forests",0.246198367545093,0.00212164765005524,0.0112200641146521,0.187280219329207,0.00823638151813879,0.344902468904927,0.589906615830792,0.507619576858977,0.446345237770772,30771637.3915064
"Pantanal",0.777614736623561,0.134269850278205,0.67761300259025,0.228292094434391,0.187858886017801,0.932228144216233,0.995697042777338,0.990548918521906,0.983952260538276,17050133.8827642
"Pantanos de Centla",0.358307189295434,0.0358626338267127,0.118639156137707,0.218697622447079,0.0518064516129032,0.599397807327158,0.937838277416848,0.872676672298976,0.81307207850295,1715286.58731659
"Pantepui forests & shrublands",0.969595164400359,0.992944358426592,0.989488753358304,0.996234703482899,0.994999705865051,0.998624630511926,1,1,0.999993921203602,5067518.20456516
"Papuan Central Range sub-alpine grasslands",0.964008149473266,0.128780112762686,0.722720286885246,0.867311635058944,0.641434518091579,0.984549292277129,1,0.999990069464099,0.999950347320493,1550273.76104157
"Paraguaná xeric scrub",0.508481933822382,0.0025695663073452,0.0613775285147142,0.123062261753494,0.00173733993951483,0.914725766427636,0.991521347255492,0.983149588700312,0.9745543241129,1590917.50245281
"Paraná flooded savanna",0.49134000088788,0.00643507814023456,0.328643297194049,0.0641579469456977,0.00467988300292493,0.892031942946929,0.987959660868688,0.976442906166941,0.964450930256031,3709686.1093871
"Paropamisus xeric woodlands",0.380408543876229,0.0208090865985603,0.0307703914468012,0.162590036824656,0.026566551426102,0.719618659281559,0.942224545819738,0.9098913708882,0.879357963281406,9260911.29825027
"Patagonian steppe",0.890035744221146,0.820772071681379,0.612918755920155,0.647996706236593,0.744853475417777,0.988158087986931,0.999808442987183,0.999543950607844,0.999129656035185,57659805.9468353
"Patía valley dry forests",0.0834725109921947,0,0.0246262093227792,0.229580573951435,0.0109938434476693,0.859199509904023,0.999965965557144,0.997175141242938,0.987543393914642,226058.045632827
"Peninsular Malaysian montane rain forests",0.917429988001177,0.29456149515352,0.512729597767961,0.895028915240376,0.505218717016536,0.945414056559366,0.999252572097526,0.997726198248497,0.99581710529278,1709749.40397717
"Peninsular Malaysian peat swamp forests",0.279331157890247,0.00191885964912281,0.272199170124481,0.414654454621149,0.0773081201334817,0.548566759133819,0.983535139983343,0.961710124500822,0.910884745979883,361012.605421506
"Peninsular Malaysian rain forests",0.302151846224586,0.0742725025910867,0.154276167833965,0.309517205371274,0.123650459812776,0.437350811716143,0.935670257152377,0.896700806118745,0.840371331811604,12494415.0691666
"Pernambuco coastal forests",0.0322060831225801,0.00205128205128205,0,0.117842609044535,0.000696742727747779,0.87323874537099,0.998370390707684,0.996320094233929,0.990736025436076,1750166.1003232
"Pernambuco interior forests",0.0592494247378215,0.00334639601955,0.0112394217207334,0.0626386301126786,0.000894734487540822,0.754169905149704,0.984870875154858,0.965830634344786,0.939961298381289,2259709.86181719
"Peruvian Yungas",0.510109384024016,0.159202757220337,0.386491136210637,0.436860159582154,0.297156585762596,0.925179030869451,0.999475195207087,0.998382507721921,0.995107344740416,18596185.3904695
"Petén-Veracruz moist forests",0.657311445646418,0.0812851772901803,0.287158928918009,0.339226069246436,0.208315979926945,0.606430689916157,0.904511080645875,0.847900023152424,0.803062363264127,14859549.7558458
"Pilbara shrublands",0.998284267543375,0.965410968481696,0.682577231953113,0.983341556956063,0.973871560457838,0.998054158602322,0.999991769697064,0.99997964082958,0.999921595535191,17823126.2352902
"Pindus Mountains mixed forests",0.118561162664305,0.0128817038747755,0.120869411556812,0.415302951838426,0.0202215487511757,0.676110872350595,0.916794889312667,0.88305896657498,0.849606222808383,3958374.64562625
"Piney Woods",0.760302108310678,0.15897368160354,0.304278299166361,0.237331871540498,0.181754376493137,0.951106450964505,0.991089362422714,0.985961282846181,0.980914811856504,15213191.3432417
"Po Basin mixed forests",0.018355494506513,0.000142609274356476,0.0013203187626727,0.0245982844025613,0.000461613216715258,0.0714436804932882,0.201345854855467,0.123606434166218,0.0889911062315327,4246082.29079154
"Pontic steppe",0.0196019665526086,0.0404133504597299,0.0572325990876477,0.119484728286103,0.0134741069620742,0.199608177939692,0.416446957027386,0.342056925177146,0.291150888962086,99707357.8707995
"Puerto Rican dry forests",0.22298531913553,0.0552922590837283,0,0.122569737954353,0.0321324245374878,0.7261728553961,0.973837947675895,0.948120396240792,0.914401828803658,127128.579943511
"Puerto Rican moist forests",0.301427529436282,0.000530926466684364,0,0.0823481451284142,0.000137362637362637,0.730871510360722,0.939130074650818,0.904848679374217,0.868703602083182,750411.178462939
"Puget lowland forests",0.740276672217258,0.341587460396865,0.308260215236959,0.421936056838366,0.342610657236922,0.76844020599406,0.917156999685721,0.881276844641548,0.852363201452666,3618098.26307233
"Purus-Madeira moist forests",0.981539174506568,0.91355583403272,0.953983051819235,0.916621228116988,0.937401435047515,0.964662002356136,0.999996886795432,0.999995997308412,0.994463388047162,17326141.5884175
"Purus várzea",0.994515372246483,0.962770489010053,0.950628315798939,0.956971880564873,0.977013004071982,0.981450592285687,0.999948055168031,0.999867300597322,0.998643323212094,17676035.6923228
"Pyrenees conifer and mixed forests",0.517935179531387,0.0272653752840143,0.318637274549098,0.501659334722544,0.136026285272516,0.905780739243171,0.988735583428672,0.979956447840464,0.97012286010437,2593012.21458075
